REF_DATE,GEO,Field of study,VALUE
2021/2022,Ontario,"Business, management and public administration",21279.0
2022/2023,Ontario,"Business, management and public administration",19895.0
2023/2024,Ontario,"Business, management and public administration",20440.0
2019/2020,Ontario,Executive MBA,92310.0
2020/2021,Ontario,Executive MBA,93461.0
2021/2022,Ontario,Executive MBA,93760.0
2022/2023,Ontario,Executive MBA,88886.0
2023/2024,Ontario,Executive MBA,89923.0
2019/2020,Ontario,Regular MBA,42389.0
2020/2021,Ontario,Regular MBA,42707.0
2021/2022,Ontario,Regular MBA,43654.0
2022/2023,Ontario,Regular MBA,42747.0
2023/2024,Ontario,Regular MBA,43200.0
2019/2020,Ontario,Physical and life sciences and technologies,7976.0
2020/2021,Ontario,Physical and life sciences and technologies,7965.0
2021/2022,Ontario,Physical and life sciences and technologies,7990.0
2022/2023,Ontario,Physical and life sciences and technologies,8046.0
2023/2024,Ontario,Physical and life sciences and technologies,8100.0
2019/2020,Ontario,"Mathematics, computer and information sciences",10986.0
2020/2021,Ontario,"Mathematics, computer and information sciences",11000.0
2021/2022,Ontario,"Mathematics, computer and information sciences",11006.0
2022/2023,Ontario,"Mathematics, computer and information sciences",11364.0
2023/2024,Ontario,"Mathematics, computer and information sciences",11453.0
2019/2020,Ontario,Engineering,8656.0
2020/2021,Ontario,Engineering,8572.0
2021/2022,Ontario,Engineering,8497.0
2022/2023,Ontario,Engineering,8601.0
2023/2024,Ontario,Engineering,8745.0
2019/2020,Ontario,Architecture,7531.0
2020/2021,Ontario,Architecture,7386.0
2021/2022,Ontario,Architecture,7356.0
2022/2023,Ontario,Architecture,7445.0
2023/2024,Ontario,Architecture,7541.0
2019/2020,Ontario,"Agriculture, natural resources and conservation",5679.0
2020/2021,Ontario,"Agriculture, natural resources and conservation",5612.0
2021/2022,Ontario,"Agriculture, natural resources and conservation",5726.0
2022/2023,Ontario,"Agriculture, natural resources and conservation",6793.0
2023/2024,Ontario,"Agriculture, natural resources and conservation",6871.0
2019/2020,Ontario,Dentistry,18925.0
2020/2021,Ontario,Dentistry,18947.0
2021/2022,Ontario,Dentistry,18887.0
2022/2023,Ontario,Dentistry,18762.0
2023/2024,Ontario,Dentistry,18762.0
2019/2020,Ontario,Nursing,7990.0
2020/2021,Ontario,Nursing,8461.0
2021/2022,Ontario,Nursing,8558.0
2022/2023,Ontario,Nursing,8244.0
2023/2024,Ontario,Nursing,8320.0
2019/2020,Ontario,Pharmacy,8322.0
2020/2021,Ontario,Pharmacy,8134.0
2021/2022,Ontario,Pharmacy,8678.0
2022/2023,Ontario,Pharmacy,8657.0
2023/2024,Ontario,Pharmacy,8710.0
2019/2020,Ontario,Veterinary medicine,4790.0
2020/2021,Ontario,Veterinary medicine,4790.0
2021/2022,Ontario,Veterinary medicine,4790.0
2022/2023,Ontario,Veterinary medicine,4993.0
2023/2024,Ontario,Veterinary medicine,4993.0
2019/2020,Ontario,Optometry,4508.0
2020/2021,Ontario,Optometry,4508.0
2021/2022,Ontario,Optometry,4508.0
2022/2023,Ontario,Optometry,4508.0
2023/2024,Ontario,Optometry,4508.0
2019/2020,Ontario,"Other health, parks, recreation and fitness",12142.0
2020/2021,Ontario,"Other health, parks, recreation and fitness",12099.0
2021/2022,Ontario,"Other health, parks, recreation and fitness",8630.0
2022/2023,Ontario,"Other health, parks, recreation and fitness",8653.0
2023/2024,Ontario,"Other health, parks, recreation and fitness",8769.0
2019/2020,Ontario,"Personal, protective and transportation services",4721.0
2020/2021,Ontario,"Personal, protective and transportation services",3864.0
2021/2022,Ontario,"Personal, protective and transportation services",4606.0
2022/2023,Ontario,"Personal, protective and transportation services",5037.0
2023/2024,Ontario,"Personal, protective and transportation services",5047.0
2019/2020,Manitoba,"Total, field of study",5069.0
2020/2021,Manitoba,"Total, field of study",5220.0
2021/2022,Manitoba,"Total, field of study",5373.0
2022/2023,Manitoba,"Total, field of study",5587.0
2023/2024,Manitoba,"Total, field of study",5742.0
2019/2020,Manitoba,Education,3846.0
2020/2021,Manitoba,Education,3942.0
2021/2022,Manitoba,Education,3918.0
2022/2023,Manitoba,Education,4165.0
2023/2024,Manitoba,Education,4279.0
2019/2020,Manitoba,"Visual and performing arts, and communications technologies",4919.0
2020/2021,Manitoba,"Visual and performing arts, and communications technologies",5181.0
2021/2022,Manitoba,"Visual and performing arts, and communications technologies",5512.0
2022/2023,Manitoba,"Visual and performing arts, and communications technologies",5519.0
2023/2024,Manitoba,"Visual and performing arts, and communications technologies",5670.0
2019/2020,Manitoba,Humanities,5288.0
2020/2021,Manitoba,Humanities,5478.0
2021/2022,Manitoba,Humanities,5718.0
2022/2023,Manitoba,Humanities,5878.0
2023/2024,Manitoba,Humanities,6040.0
2019/2020,Manitoba,"Social and behavioural sciences, and legal studies ",5800.0
2020/2021,Manitoba,"Social and behavioural sciences, and legal studies ",5789.0
2021/2022,Manitoba,"Social and behavioural sciences, and legal studies ",5882.0
2022/2023,Manitoba,"Social and behavioural sciences, and legal studies ",6141.0
2023/2024,Manitoba,"Social and behavioural sciences, and legal studies ",6310.0
2019/2020,Manitoba,Law,5148.0
2020/2021,Manitoba,Law,5341.0
2021/2022,Manitoba,Law,5541.0
2022/2023,Manitoba,Law,5749.0
2023/2024,Manitoba,Law,5907.0
2019/2020,Manitoba,"Business, management and public administration",3860.0
2020/2021,Manitoba,"Business, management and public administration",4005.0
2021/2022,Manitoba,"Business, management and public administration",4155.0
2022/2023,Manitoba,"Business, management and public administration",4577.0
2023/2024,Manitoba,"Business, management and public administration",4724.0
2019/2020,Manitoba,Regular MBA,33562.0
2020/2021,Manitoba,Regular MBA,33562.0
2021/2022,Manitoba,Regular MBA,33562.0
2022/2023,Manitoba,Regular MBA,33562.0
2023/2024,Manitoba,Regular MBA,34484.0
2019/2020,Manitoba,Physical and life sciences and technologies,5261.0
2020/2021,Manitoba,Physical and life sciences and technologies,5393.0
2021/2022,Manitoba,Physical and life sciences and technologies,5562.0
2022/2023,Manitoba,Physical and life sciences and technologies,5784.0
2023/2024,Manitoba,Physical and life sciences and technologies,5943.0
2019/2020,Manitoba,"Mathematics, computer and information sciences",5469.0
2020/2021,Manitoba,"Mathematics, computer and information sciences",5591.0
2021/2022,Manitoba,"Mathematics, computer and information sciences",5650.0
2022/2023,Manitoba,"Mathematics, computer and information sciences",5862.0
2023/2024,Manitoba,"Mathematics, computer and information sciences",6023.0
2019/2020,Manitoba,Engineering,5148.0
2020/2021,Manitoba,Engineering,5341.0
2021/2022,Manitoba,Engineering,5541.0
2022/2023,Manitoba,Engineering,5749.0
2023/2024,Manitoba,Engineering,5907.0
2019/2020,Manitoba,Architecture,5148.0
2020/2021,Manitoba,Architecture,5341.0
2021/2022,Manitoba,Architecture,5541.0
2022/2023,Manitoba,Architecture,5749.0
2023/2024,Manitoba,Architecture,5907.0
2019/2020,Manitoba,"Agriculture, natural resources and conservation",5175.0
2020/2021,Manitoba,"Agriculture, natural resources and conservation",5364.0
2021/2022,Manitoba,"Agriculture, natural resources and conservation",5552.0
2022/2023,Manitoba,"Agriculture, natural resources and conservation",5767.0
2023/2024,Manitoba,"Agriculture, natural resources and conservation",5926.0
2019/2020,Manitoba,Dentistry,5148.0
2020/2021,Manitoba,Dentistry,5341.0
2021/2022,Manitoba,Dentistry,5541.0
2022/2023,Manitoba,Dentistry,5749.0
2023/2024,Manitoba,Dentistry,5907.0
2019/2020,Manitoba,Nursing,4753.0
2020/2021,Manitoba,Nursing,4905.0
2021/2022,Manitoba,Nursing,5267.0
2022/2023,Manitoba,Nursing,5502.0
2023/2024,Manitoba,Nursing,5654.0
2019/2020,Manitoba,Pharmacy,5148.0
2020/2021,Manitoba,Pharmacy,5341.0
2021/2022,Manitoba,Pharmacy,5541.0
2022/2023,Manitoba,Pharmacy,5749.0
2023/2024,Manitoba,Pharmacy,5907.0
2019/2020,Manitoba,"Other health, parks, recreation and fitness",5148.0
2020/2021,Manitoba,"Other health, parks, recreation and fitness",5341.0
2021/2022,Manitoba,"Other health, parks, recreation and fitness",5541.0
2022/2023,Manitoba,"Other health, parks, recreation and fitness",5749.0
2023/2024,Manitoba,"Other health, parks, recreation and fitness",5907.0
2021/2022,Manitoba,"Personal, protective and transportation services",6800.0
2022/2023,Manitoba,"Personal, protective and transportation services",6995.0
2023/2024,Manitoba,"Personal, protective and transportation services",7188.0
2019/2020,Saskatchewan,"Total, field of study",4346.0
2020/2021,Saskatchewan,"Total, field of study",4370.0
2021/2022,Saskatchewan,"Total, field of study",4757.0
2022/2023,Saskatchewan,"Total, field of study",5042.0
2023/2024,Saskatchewan,"Total, field of study",5276.0
2019/2020,Saskatchewan,Education,3302.0
2020/2021,Saskatchewan,Education,3284.0
2021/2022,Saskatchewan,Education,3365.0
2022/2023,Saskatchewan,Education,3680.0
2023/2024,Saskatchewan,Education,3848.0
2019/2020,Saskatchewan,"Visual and performing arts, and communications technologies",3577.0
2020/2021,Saskatchewan,"Visual and performing arts, and communications technologies",3648.0
2021/2022,Saskatchewan,"Visual and performing arts, and communications technologies",3876.0
2022/2023,Saskatchewan,"Visual and performing arts, and communications technologies",4042.0
2023/2024,Saskatchewan,"Visual and performing arts, and communications technologies",4218.0
2019/2020,Saskatchewan,Humanities,3050.0
2020/2021,Saskatchewan,Humanities,3040.0
2021/2022,Saskatchewan,Humanities,3268.0
2022/2023,Saskatchewan,Humanities,3451.0
2023/2024,Saskatchewan,Humanities,3614.0
2019/2020,Saskatchewan,"Social and behavioural sciences, and legal studies ",3764.0
2020/2021,Saskatchewan,"Social and behavioural sciences, and legal studies ",3722.0
2021/2022,Saskatchewan,"Social and behavioural sciences, and legal studies ",4103.0
2022/2023,Saskatchewan,"Social and behavioural sciences, and legal studies ",4196.0
2023/2024,Saskatchewan,"Social and behavioural sciences, and legal studies ",4385.0
2019/2020,Saskatchewan,Law,2840.0
2020/2021,Saskatchewan,Law,2840.0
2021/2022,Saskatchewan,Law,2982.0
2022/2023,Saskatchewan,Law,3132.0
2023/2024,Saskatchewan,Law,3288.0
2019/2020,Saskatchewan,"Business, management and public administration",7103.0
2020/2021,Saskatchewan,"Business, management and public administration",7181.0
2021/2022,Saskatchewan,"Business, management and public administration",6911.0
2022/2023,Saskatchewan,"Business, management and public administration",7320.0
2023/2024,Saskatchewan,"Business, management and public administration",7516.0
2019/2020,Saskatchewan,Executive MBA,53305.0
2020/2021,Saskatchewan,Executive MBA,53305.0
2021/2022,Saskatchewan,Executive MBA,53305.0
2022/2023,Saskatchewan,Executive MBA,55175.0
2023/2024,Saskatchewan,Executive MBA,55175.0
2019/2020,Saskatchewan,Regular MBA,19338.0
2020/2021,Saskatchewan,Regular MBA,18432.0
2021/2022,Saskatchewan,Regular MBA,13890.0
2022/2023,Saskatchewan,Regular MBA,14378.0
2023/2024,Saskatchewan,Regular MBA,14955.0
2019/2020,Saskatchewan,Physical and life sciences and technologies,3107.0
2020/2021,Saskatchewan,Physical and life sciences and technologies,3081.0
2021/2022,Saskatchewan,Physical and life sciences and technologies,3257.0
2022/2023,Saskatchewan,Physical and life sciences and technologies,3412.0
2023/2024,Saskatchewan,Physical and life sciences and technologies,3574.0
2019/2020,Saskatchewan,"Mathematics, computer and information sciences",3234.0
2020/2021,Saskatchewan,"Mathematics, computer and information sciences",3158.0
2021/2022,Saskatchewan,"Mathematics, computer and information sciences",3958.0
2022/2023,Saskatchewan,"Mathematics, computer and information sciences",4261.0
2023/2024,Saskatchewan,"Mathematics, computer and information sciences",4452.0
2019/2020,Saskatchewan,Engineering,3782.0
2020/2021,Saskatchewan,Engineering,3782.0
2021/2022,Saskatchewan,Engineering,4186.0
2022/2023,Saskatchewan,Engineering,4785.0
2023/2024,Saskatchewan,Engineering,5259.0
2019/2020,Saskatchewan,"Agriculture, natural resources and conservation",2840.0
2020/2021,Saskatchewan,"Agriculture, natural resources and conservation",2840.0
2021/2022,Saskatchewan,"Agriculture, natural resources and conservation",2982.0
2022/2023,Saskatchewan,"Agriculture, natural resources and conservation",3132.0
2023/2024,Saskatchewan,"Agriculture, natural resources and conservation",3288.0
2019/2020,Saskatchewan,Nursing,3925.0
2020/2021,Saskatchewan,Nursing,4194.0
2021/2022,Saskatchewan,Nursing,3954.0
2022/2023,Saskatchewan,Nursing,3795.0
2023/2024,Saskatchewan,Nursing,3973.0
2019/2020,Saskatchewan,Pharmacy,2840.0
2020/2021,Saskatchewan,Pharmacy,2840.0
2021/2022,Saskatchewan,Pharmacy,2982.0
2022/2023,Saskatchewan,Pharmacy,3132.0
2023/2024,Saskatchewan,Pharmacy,3288.0
2019/2020,Saskatchewan,Veterinary medicine,2840.0
2020/2021,Saskatchewan,Veterinary medicine,2840.0
2021/2022,Saskatchewan,Veterinary medicine,2982.0
2022/2023,Saskatchewan,Veterinary medicine,3132.0
2023/2024,Saskatchewan,Veterinary medicine,3288.0
2019/2020,Saskatchewan,"Other health, parks, recreation and fitness",7579.0
2020/2021,Saskatchewan,"Other health, parks, recreation and fitness",7630.0
2021/2022,Saskatchewan,"Other health, parks, recreation and fitness",8786.0
2022/2023,Saskatchewan,"Other health, parks, recreation and fitness",8900.0
2023/2024,Saskatchewan,"Other health, parks, recreation and fitness",9257.0
2020/2021,Saskatchewan,"Personal, protective and transportation services",4388.0
2021/2022,Saskatchewan,"Personal, protective and transportation services",4564.0
2022/2023,Saskatchewan,"Personal, protective and transportation services",4725.0
2023/2024,Saskatchewan,"Personal, protective and transportation services",4916.0
2019/2020,Alberta,"Total, field of study",6749.0
2020/2021,Alberta,"Total, field of study",6673.0
2021/2022,Alberta,"Total, field of study",6764.0
2022/2023,Alberta,"Total, field of study",7515.0
2023/2024,Alberta,"Total, field of study",7879.0
2019/2020,Alberta,Education,7317.0
2020/2021,Alberta,Education,7076.0
2021/2022,Alberta,Education,7370.0
2022/2023,Alberta,Education,7637.0
2023/2024,Alberta,Education,7874.0
2019/2020,Alberta,"Visual and performing arts, and communications technologies",5186.0
2020/2021,Alberta,"Visual and performing arts, and communications technologies",4917.0
2021/2022,Alberta,"Visual and performing arts, and communications technologies",5090.0
2022/2023,Alberta,"Visual and performing arts, and communications technologies",5372.0
2023/2024,Alberta,"Visual and performing arts, and communications technologies",5604.0
2019/2020,Alberta,Humanities,4889.0
2020/2021,Alberta,Humanities,4747.0
2021/2022,Alberta,Humanities,5005.0
2022/2023,Alberta,Humanities,5370.0
2023/2024,Alberta,Humanities,5624.0
2019/2020,Alberta,"Social and behavioural sciences, and legal studies ",6858.0
2020/2021,Alberta,"Social and behavioural sciences, and legal studies ",6687.0
2021/2022,Alberta,"Social and behavioural sciences, and legal studies ",5264.0
2022/2023,Alberta,"Social and behavioural sciences, and legal studies ",7554.0
2023/2024,Alberta,"Social and behavioural sciences, and legal studies ",7909.0
2019/2020,Alberta,Law,5444.0
2020/2021,Alberta,Law,5040.0
2021/2022,Alberta,Law,5165.0
2022/2023,Alberta,Law,5294.0
2023/2024,Alberta,Law,5558.0
2019/2020,Alberta,"Business, management and public administration",22567.0
2020/2021,Alberta,"Business, management and public administration",23776.0
2021/2022,Alberta,"Business, management and public administration",24342.0
2022/2023,Alberta,"Business, management and public administration",25346.0
2023/2024,Alberta,"Business, management and public administration",26484.0
2019/2020,Alberta,Executive MBA,27775.0
2020/2021,Alberta,Executive MBA,30961.0
2021/2022,Alberta,Executive MBA,31087.0
2022/2023,Alberta,Executive MBA,32134.0
2023/2024,Alberta,Executive MBA,33313.0
2019/2020,Alberta,Regular MBA,13143.0
2020/2021,Alberta,Regular MBA,14517.0
2021/2022,Alberta,Regular MBA,15327.0
2022/2023,Alberta,Regular MBA,21182.0
2023/2024,Alberta,Regular MBA,25317.0
2019/2020,Alberta,Physical and life sciences and technologies,5168.0
2020/2021,Alberta,Physical and life sciences and technologies,4900.0
2021/2022,Alberta,Physical and life sciences and technologies,5181.0
2022/2023,Alberta,Physical and life sciences and technologies,5518.0
2023/2024,Alberta,Physical and life sciences and technologies,5751.0
2019/2020,Alberta,"Mathematics, computer and information sciences",4981.0
2020/2021,Alberta,"Mathematics, computer and information sciences",4688.0
2021/2022,Alberta,"Mathematics, computer and information sciences",4953.0
2022/2023,Alberta,"Mathematics, computer and information sciences",5246.0
2023/2024,Alberta,"Mathematics, computer and information sciences",5512.0
2019/2020,Alberta,Engineering,4877.0
2020/2021,Alberta,Engineering,4721.0
2021/2022,Alberta,Engineering,4995.0
2022/2023,Alberta,Engineering,5404.0
2023/2024,Alberta,Engineering,5673.0
2019/2020,Alberta,Architecture,12499.0
2020/2021,Alberta,Architecture,7648.0
2021/2022,Alberta,Architecture,8183.0
2022/2023,Alberta,Architecture,8756.0
2023/2024,Alberta,Architecture,9514.0
2019/2020,Alberta,"Agriculture, natural resources and conservation",7447.0
2020/2021,Alberta,"Agriculture, natural resources and conservation",7583.0
2021/2022,Alberta,"Agriculture, natural resources and conservation",6086.0
2022/2023,Alberta,"Agriculture, natural resources and conservation",6418.0
2023/2024,Alberta,"Agriculture, natural resources and conservation",6763.0
2019/2020,Alberta,Nursing,8127.0
2020/2021,Alberta,Nursing,8420.0
2021/2022,Alberta,Nursing,9283.0
2022/2023,Alberta,Nursing,9960.0
2023/2024,Alberta,Nursing,10486.0
2019/2020,Alberta,Pharmacy,3745.0
2020/2021,Alberta,Pharmacy,4007.0
2021/2022,Alberta,Pharmacy,4287.0
2022/2023,Alberta,Pharmacy,4586.0
2023/2024,Alberta,Pharmacy,4838.0
2019/2020,Alberta,Veterinary medicine,5594.0
2020/2021,Alberta,Veterinary medicine,3464.0
2021/2022,Alberta,Veterinary medicine,3464.0
2022/2023,Alberta,Veterinary medicine,3533.0
2023/2024,Alberta,Veterinary medicine,3604.0
2019/2020,Alberta,"Other health, parks, recreation and fitness",4524.0
2020/2021,Alberta,"Other health, parks, recreation and fitness",4644.0
2021/2022,Alberta,"Other health, parks, recreation and fitness",4952.0
2022/2023,Alberta,"Other health, parks, recreation and fitness",5301.0
2023/2024,Alberta,"Other health, parks, recreation and fitness",5580.0
2019/2020,British Columbia,"Total, field of study",9047.0
2020/2021,British Columbia,"Total, field of study",9579.0
2021/2022,British Columbia,"Total, field of study",9823.0
2022/2023,British Columbia,"Total, field of study",10524.0
2023/2024,British Columbia,"Total, field of study",10748.0
2019/2020,British Columbia,Education,7531.0
2020/2021,British Columbia,Education,7596.0
2021/2022,British Columbia,Education,7678.0
2022/2023,British Columbia,Education,8899.0
2023/2024,British Columbia,Education,9077.0
2019/2020,British Columbia,"Visual and performing arts, and communications technologies",4880.0
2020/2021,British Columbia,"Visual and performing arts, and communications technologies",4989.0
2021/2022,British Columbia,"Visual and performing arts, and communications technologies",5127.0
2022/2023,British Columbia,"Visual and performing arts, and communications technologies",5376.0
2023/2024,British Columbia,"Visual and performing arts, and communications technologies",5484.0
2019/2020,British Columbia,Humanities,4898.0
2020/2021,British Columbia,Humanities,4942.0
2021/2022,British Columbia,Humanities,5092.0
2022/2023,British Columbia,Humanities,5456.0
2023/2024,British Columbia,Humanities,5565.0
2019/2020,British Columbia,"Social and behavioural sciences, and legal studies ",6847.0
2020/2021,British Columbia,"Social and behavioural sciences, and legal studies ",7521.0
2021/2022,British Columbia,"Social and behavioural sciences, and legal studies ",7795.0
2022/2023,British Columbia,"Social and behavioural sciences, and legal studies ",7858.0
2023/2024,British Columbia,"Social and behavioural sciences, and legal studies ",8016.0
2019/2020,British Columbia,Law,13297.0
2020/2021,British Columbia,Law,13737.0
2021/2022,British Columbia,Law,13530.0
2022/2023,British Columbia,Law,13401.0
2023/2024,British Columbia,Law,13669.0
2019/2020,British Columbia,"Business, management and public administration",13037.0
2020/2021,British Columbia,"Business, management and public administration",15528.0
2021/2022,British Columbia,"Business, management and public administration",16382.0
2022/2023,British Columbia,"Business, management and public administration",18288.0
2023/2024,British Columbia,"Business, management and public administration",18654.0
2019/2020,British Columbia,Executive MBA,18447.0
2020/2021,British Columbia,Executive MBA,18159.0
2021/2022,British Columbia,Executive MBA,19925.0
2022/2023,British Columbia,Executive MBA,18307.0
2023/2024,British Columbia,Executive MBA,18673.0
2019/2020,British Columbia,Regular MBA,27976.0
2020/2021,British Columbia,Regular MBA,28520.0
2021/2022,British Columbia,Regular MBA,29062.0
2022/2023,British Columbia,Regular MBA,36338.0
2023/2024,British Columbia,Regular MBA,37064.0
2019/2020,British Columbia,Physical and life sciences and technologies,11717.0
2020/2021,British Columbia,Physical and life sciences and technologies,11830.0
2021/2022,British Columbia,Physical and life sciences and technologies,11350.0
2022/2023,British Columbia,Physical and life sciences and technologies,11716.0
2023/2024,British Columbia,Physical and life sciences and technologies,11951.0
2019/2020,British Columbia,"Mathematics, computer and information sciences",14246.0
2020/2021,British Columbia,"Mathematics, computer and information sciences",14590.0
2021/2022,British Columbia,"Mathematics, computer and information sciences",14717.0
2022/2023,British Columbia,"Mathematics, computer and information sciences",16018.0
2023/2024,British Columbia,"Mathematics, computer and information sciences",16609.0
2019/2020,British Columbia,Engineering,16373.0
2020/2021,British Columbia,Engineering,16583.0
2021/2022,British Columbia,Engineering,16393.0
2022/2023,British Columbia,Engineering,18061.0
2023/2024,British Columbia,Engineering,18423.0
2019/2020,British Columbia,Architecture,7029.0
2020/2021,British Columbia,Architecture,7298.0
2021/2022,British Columbia,Architecture,7525.0
2022/2023,British Columbia,Architecture,7751.0
2023/2024,British Columbia,Architecture,7906.0
2019/2020,British Columbia,"Agriculture, natural resources and conservation",9278.0
2020/2021,British Columbia,"Agriculture, natural resources and conservation",9263.0
2021/2022,British Columbia,"Agriculture, natural resources and conservation",9928.0
2022/2023,British Columbia,"Agriculture, natural resources and conservation",10229.0
2023/2024,British Columbia,"Agriculture, natural resources and conservation",10426.0
2019/2020,British Columbia,Dentistry,11735.0
2020/2021,British Columbia,Dentistry,11970.0
2021/2022,British Columbia,Dentistry,12209.0
2022/2023,British Columbia,Dentistry,12453.0
2023/2024,British Columbia,Dentistry,12702.0
2019/2020,British Columbia,Nursing,5134.0
2020/2021,British Columbia,Nursing,5223.0
2021/2022,British Columbia,Nursing,5406.0
2022/2023,British Columbia,Nursing,5523.0
2023/2024,British Columbia,Nursing,5632.0
2019/2020,British Columbia,Pharmacy,4996.0
2020/2021,British Columbia,Pharmacy,5096.0
2021/2022,British Columbia,Pharmacy,5198.0
2022/2023,British Columbia,Pharmacy,5302.0
2023/2024,British Columbia,Pharmacy,5408.0
2019/2020,British Columbia,"Other health, parks, recreation and fitness",5925.0
2020/2021,British Columbia,"Other health, parks, recreation and fitness",6028.0
2021/2022,British Columbia,"Other health, parks, recreation and fitness",6149.0
2022/2023,British Columbia,"Other health, parks, recreation and fitness",6412.0
2023/2024,British Columbia,"Other health, parks, recreation and fitness",6541.0
2019/2020,British Columbia,"Personal, protective and transportation services",12640.0
2020/2021,British Columbia,"Personal, protective and transportation services",12893.0
2021/2022,British Columbia,"Personal, protective and transportation services",13151.0
2022/2023,British Columbia,"Personal, protective and transportation services",13414.0
2023/2024,British Columbia,"Personal, protective and transportation services",13682.0
