REF_DATE,GEO,Educational qualification,Field of study,Characteristics after graduation,VALUE
2011,Nova Scotia,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,46300.0
2011,Nova Scotia,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,52400.0
2011,Nova Scotia,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,59800.0
2011,Nova Scotia,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,27400.0
2011,Nova Scotia,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,30300.0
2011,Nova Scotia,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,36800.0
2011,Nova Scotia,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,47700.0
2011,Nova Scotia,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,49100.0
2011,Nova Scotia,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,49200.0
2011,Nova Scotia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,29600.0
2011,Nova Scotia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,32900.0
2011,Nova Scotia,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,33300.0
2011,Nova Scotia,Undergraduate degree,"Total, field of study",Graduates reporting employment income,48200.0
2011,Nova Scotia,Undergraduate degree,"Total, field of study",Graduates reporting employment income,60000.0
2011,Nova Scotia,Undergraduate degree,"Total, field of study",Graduates reporting employment income,72800.0
2011,Nova Scotia,Undergraduate degree,Education [1],Graduates reporting employment income,42000.0
2011,Nova Scotia,Undergraduate degree,Education [1],Graduates reporting employment income,58200.0
2011,Nova Scotia,Undergraduate degree,Education [1],Graduates reporting employment income,76900.0
2011,Nova Scotia,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,27600.0
2011,Nova Scotia,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,31900.0
2011,Nova Scotia,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,35200.0
2011,Nova Scotia,Undergraduate degree,Humanities [3],Graduates reporting employment income,31100.0
2011,Nova Scotia,Undergraduate degree,Humanities [3],Graduates reporting employment income,35200.0
2011,Nova Scotia,Undergraduate degree,Humanities [3],Graduates reporting employment income,47000.0
2011,Nova Scotia,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,38400.0
2011,Nova Scotia,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,47500.0
2011,Nova Scotia,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,60600.0
2011,Nova Scotia,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,49600.0
2011,Nova Scotia,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,65100.0
2011,Nova Scotia,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,79300.0
2011,Nova Scotia,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,44000.0
2011,Nova Scotia,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,47800.0
2011,Nova Scotia,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,59300.0
2011,Nova Scotia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,55100.0
2011,Nova Scotia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,66400.0
2011,Nova Scotia,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,94900.0
2011,Nova Scotia,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,72100.0
2011,Nova Scotia,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,83800.0
2011,Nova Scotia,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,91800.0
2011,Nova Scotia,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,39000.0
2011,Nova Scotia,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,52400.0
2011,Nova Scotia,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,62300.0
2011,Nova Scotia,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,76600.0
2011,Nova Scotia,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,80300.0
2011,Nova Scotia,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,76900.0
2011,Nova Scotia,Professional degree,"Total, field of study",Graduates reporting employment income,98600.0
2011,Nova Scotia,Professional degree,"Total, field of study",Graduates reporting employment income,110200.0
2011,Nova Scotia,Professional degree,"Total, field of study",Graduates reporting employment income,116600.0
2011,Nova Scotia,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,76100.0
2011,Nova Scotia,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,107900.0
2011,Nova Scotia,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,124100.0
2011,Nova Scotia,Professional degree,Health and related fields [10],Graduates reporting employment income,113900.0
2011,Nova Scotia,Professional degree,Health and related fields [10],Graduates reporting employment income,113700.0
2011,Nova Scotia,Professional degree,Health and related fields [10],Graduates reporting employment income,111000.0
2011,Nova Scotia,Master's degree,"Total, field of study",Graduates reporting employment income,81800.0
2011,Nova Scotia,Master's degree,"Total, field of study",Graduates reporting employment income,89400.0
2011,Nova Scotia,Master's degree,"Total, field of study",Graduates reporting employment income,91200.0
2011,Nova Scotia,Master's degree,Education [1],Graduates reporting employment income,91800.0
2011,Nova Scotia,Master's degree,Education [1],Graduates reporting employment income,90900.0
2011,Nova Scotia,Master's degree,Education [1],Graduates reporting employment income,91300.0
2011,Nova Scotia,Master's degree,Humanities [3],Graduates reporting employment income,49600.0
2011,Nova Scotia,Master's degree,Humanities [3],Graduates reporting employment income,55000.0
2011,Nova Scotia,Master's degree,Humanities [3],Graduates reporting employment income,61000.0
2011,Nova Scotia,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,67000.0
2011,Nova Scotia,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,80400.0
2011,Nova Scotia,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,86700.0
2011,Nova Scotia,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,84100.0
2011,Nova Scotia,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,93000.0
2011,Nova Scotia,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,103300.0
2011,Nova Scotia,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,50800.0
2011,Nova Scotia,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,63600.0
2011,Nova Scotia,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,77500.0
2011,Nova Scotia,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,49300.0
2011,Nova Scotia,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,57300.0
2011,Nova Scotia,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,74200.0
2011,Nova Scotia,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,67000.0
2011,Nova Scotia,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,79100.0
2011,Nova Scotia,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,95000.0
2011,Nova Scotia,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,59000.0
2011,Nova Scotia,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,69000.0
2011,Nova Scotia,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,88000.0
2011,Nova Scotia,Master's degree,Health and related fields [10],Graduates reporting employment income,74300.0
2011,Nova Scotia,Master's degree,Health and related fields [10],Graduates reporting employment income,78800.0
2011,Nova Scotia,Master's degree,Health and related fields [10],Graduates reporting employment income,81100.0
2011,Nova Scotia,Doctoral degree,"Total, field of study",Graduates reporting employment income,74400.0
2011,Nova Scotia,Doctoral degree,"Total, field of study",Graduates reporting employment income,82300.0
2011,Nova Scotia,Doctoral degree,"Total, field of study",Graduates reporting employment income,105000.0
2011,New Brunswick,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,38600.0
2011,New Brunswick,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,44200.0
2011,New Brunswick,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,48500.0
2011,New Brunswick,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,28500.0
2011,New Brunswick,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,33000.0
2011,New Brunswick,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,35000.0
2011,New Brunswick,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,32900.0
2011,New Brunswick,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,32200.0
2011,New Brunswick,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,31500.0
2011,New Brunswick,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,34400.0
2011,New Brunswick,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,37400.0
2011,New Brunswick,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,42600.0
2011,New Brunswick,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,40900.0
2011,New Brunswick,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,46400.0
2011,New Brunswick,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,51400.0
2011,New Brunswick,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,51500.0
2011,New Brunswick,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,60100.0
2011,New Brunswick,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,67600.0
2011,New Brunswick,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,43300.0
2011,New Brunswick,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,46300.0
2011,New Brunswick,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,45500.0
2011,New Brunswick,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,32400.0
2011,New Brunswick,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,41100.0
2011,New Brunswick,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,50500.0
2011,New Brunswick,Undergraduate degree,"Total, field of study",Graduates reporting employment income,49500.0
2011,New Brunswick,Undergraduate degree,"Total, field of study",Graduates reporting employment income,59700.0
2011,New Brunswick,Undergraduate degree,"Total, field of study",Graduates reporting employment income,72600.0
2011,New Brunswick,Undergraduate degree,Education [1],Graduates reporting employment income,38400.0
2011,New Brunswick,Undergraduate degree,Education [1],Graduates reporting employment income,52200.0
2011,New Brunswick,Undergraduate degree,Education [1],Graduates reporting employment income,73300.0
2011,New Brunswick,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,21700.0
2011,New Brunswick,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,29100.0
2011,New Brunswick,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,30400.0
2011,New Brunswick,Undergraduate degree,Humanities [3],Graduates reporting employment income,36900.0
2011,New Brunswick,Undergraduate degree,Humanities [3],Graduates reporting employment income,44400.0
2011,New Brunswick,Undergraduate degree,Humanities [3],Graduates reporting employment income,56400.0
2011,New Brunswick,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,33200.0
2011,New Brunswick,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,42000.0
2011,New Brunswick,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,53700.0
2011,New Brunswick,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,48400.0
2011,New Brunswick,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,57600.0
2011,New Brunswick,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,73000.0
2011,New Brunswick,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,40800.0
2011,New Brunswick,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,56300.0
2011,New Brunswick,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,67500.0
2011,New Brunswick,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,53600.0
2011,New Brunswick,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,68400.0
2011,New Brunswick,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,101900.0
2011,New Brunswick,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,62100.0
2011,New Brunswick,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,77500.0
2011,New Brunswick,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,95600.0
2011,New Brunswick,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,54500.0
2011,New Brunswick,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,61800.0
2011,New Brunswick,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,67400.0
2011,New Brunswick,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,74800.0
2011,New Brunswick,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,80400.0
2011,New Brunswick,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,78700.0
2011,New Brunswick,Professional degree,"Total, field of study",Graduates reporting employment income,66000.0
2011,New Brunswick,Professional degree,"Total, field of study",Graduates reporting employment income,90300.0
2011,New Brunswick,Professional degree,"Total, field of study",Graduates reporting employment income,110600.0
2011,New Brunswick,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,66000.0
2011,New Brunswick,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,90300.0
2011,New Brunswick,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,110600.0
2011,New Brunswick,Master's degree,"Total, field of study",Graduates reporting employment income,77700.0
2011,New Brunswick,Master's degree,"Total, field of study",Graduates reporting employment income,83700.0
2011,New Brunswick,Master's degree,"Total, field of study",Graduates reporting employment income,89500.0
2011,New Brunswick,Master's degree,Education [1],Graduates reporting employment income,86500.0
2011,New Brunswick,Master's degree,Education [1],Graduates reporting employment income,90900.0
2011,New Brunswick,Master's degree,Education [1],Graduates reporting employment income,89500.0
2011,New Brunswick,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,59300.0
2011,New Brunswick,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,70200.0
2011,New Brunswick,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,81100.0
2011,New Brunswick,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,71600.0
2011,New Brunswick,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,71200.0
2011,New Brunswick,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,90100.0
2011,New Brunswick,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,85900.0
2011,New Brunswick,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,90900.0
2011,New Brunswick,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,104500.0
2011,New Brunswick,Master's degree,Health and related fields [10],Graduates reporting employment income,90600.0
2011,New Brunswick,Master's degree,Health and related fields [10],Graduates reporting employment income,88100.0
2011,New Brunswick,Master's degree,Health and related fields [10],Graduates reporting employment income,93400.0
2011,New Brunswick,Doctoral degree,"Total, field of study",Graduates reporting employment income,89300.0
2011,New Brunswick,Doctoral degree,"Total, field of study",Graduates reporting employment income,92900.0
2011,New Brunswick,Doctoral degree,"Total, field of study",Graduates reporting employment income,114700.0
2011,Quebec,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,42300.0
2011,Quebec,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,46100.0
2011,Quebec,"Career, technical or professional training diploma","Total, field of study",Graduates reporting employment income,55600.0
2011,Quebec,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,35000.0
2011,Quebec,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,36000.0
2011,Quebec,"Career, technical or professional training diploma",Education [1],Graduates reporting employment income,45000.0
2011,Quebec,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,33200.0
2011,Quebec,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,39100.0
2011,Quebec,"Career, technical or professional training diploma","Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,47800.0
2011,Quebec,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,35900.0
2011,Quebec,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,35800.0
2011,Quebec,"Career, technical or professional training diploma",Social and behavioural sciences and law [4],Graduates reporting employment income,40800.0
2011,Quebec,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,39800.0
2011,Quebec,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,44600.0
2011,Quebec,"Career, technical or professional training diploma","Business, management and public administration [5]",Graduates reporting employment income,53400.0
2011,Quebec,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,42300.0
2011,Quebec,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,45000.0
2011,Quebec,"Career, technical or professional training diploma",Physical and life sciences and technologies [6],Graduates reporting employment income,51200.0
2011,Quebec,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,43700.0
2011,Quebec,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,50100.0
2011,Quebec,"Career, technical or professional training diploma","Mathematics, computer and information sciences [7]",Graduates reporting employment income,62400.0
2011,Quebec,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,51100.0
2011,Quebec,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,59500.0
2011,Quebec,"Career, technical or professional training diploma","Architecture, engineering, and related technologies [8]",Graduates reporting employment income,74500.0
2011,Quebec,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,36900.0
2011,Quebec,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,43900.0
2011,Quebec,"Career, technical or professional training diploma","Agriculture, natural resources and conservation [9]",Graduates reporting employment income,50100.0
2011,Quebec,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,48400.0
2011,Quebec,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,50000.0
2011,Quebec,"Career, technical or professional training diploma",Health and related fields [10],Graduates reporting employment income,58700.0
2011,Quebec,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,46500.0
2011,Quebec,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,60500.0
2011,Quebec,"Career, technical or professional training diploma","Personal, protective and transportation services [11]",Graduates reporting employment income,79900.0
2011,Quebec,Undergraduate degree,"Total, field of study",Graduates reporting employment income,50600.0
2011,Quebec,Undergraduate degree,"Total, field of study",Graduates reporting employment income,58000.0
2011,Quebec,Undergraduate degree,"Total, field of study",Graduates reporting employment income,73300.0
2011,Quebec,Undergraduate degree,Education [1],Graduates reporting employment income,45900.0
2011,Quebec,Undergraduate degree,Education [1],Graduates reporting employment income,50900.0
2011,Quebec,Undergraduate degree,Education [1],Graduates reporting employment income,69200.0
2011,Quebec,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,30900.0
2011,Quebec,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,37800.0
2011,Quebec,Undergraduate degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,46400.0
2011,Quebec,Undergraduate degree,Humanities [3],Graduates reporting employment income,36800.0
2011,Quebec,Undergraduate degree,Humanities [3],Graduates reporting employment income,43600.0
2011,Quebec,Undergraduate degree,Humanities [3],Graduates reporting employment income,50500.0
2011,Quebec,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,43500.0
2011,Quebec,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,49900.0
2011,Quebec,Undergraduate degree,Social and behavioural sciences and law [4],Graduates reporting employment income,61800.0
2011,Quebec,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,50600.0
2011,Quebec,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,59600.0
2011,Quebec,Undergraduate degree,"Business, management and public administration [5]",Graduates reporting employment income,75500.0
2011,Quebec,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,44200.0
2011,Quebec,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,48900.0
2011,Quebec,Undergraduate degree,Physical and life sciences and technologies [6],Graduates reporting employment income,63300.0
2011,Quebec,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,55200.0
2011,Quebec,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,65300.0
2011,Quebec,Undergraduate degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,85400.0
2011,Quebec,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,66300.0
2011,Quebec,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,75900.0
2011,Quebec,Undergraduate degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,95600.0
2011,Quebec,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,48500.0
2011,Quebec,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,54900.0
2011,Quebec,Undergraduate degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,60300.0
2011,Quebec,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,63300.0
2011,Quebec,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,68500.0
2011,Quebec,Undergraduate degree,Health and related fields [10],Graduates reporting employment income,81700.0
2011,Quebec,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,54100.0
2011,Quebec,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,64300.0
2011,Quebec,Undergraduate degree,"Personal, protective and transportation services [11]",Graduates reporting employment income,75000.0
2011,Quebec,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,55400.0
2011,Quebec,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,60500.0
2011,Quebec,Undergraduate degree,Other instructional programs [12],Graduates reporting employment income,71300.0
2011,Quebec,Professional degree,"Total, field of study",Graduates reporting employment income,75900.0
2011,Quebec,Professional degree,"Total, field of study",Graduates reporting employment income,91400.0
2011,Quebec,Professional degree,"Total, field of study",Graduates reporting employment income,126000.0
2011,Quebec,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,61000.0
2011,Quebec,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,78300.0
2011,Quebec,Professional degree,Social and behavioural sciences and law [4],Graduates reporting employment income,108900.0
2011,Quebec,Professional degree,Health and related fields [10],Graduates reporting employment income,83000.0
2011,Quebec,Professional degree,Health and related fields [10],Graduates reporting employment income,98600.0
2011,Quebec,Professional degree,Health and related fields [10],Graduates reporting employment income,133300.0
2011,Quebec,Master's degree,"Total, field of study",Graduates reporting employment income,65400.0
2011,Quebec,Master's degree,"Total, field of study",Graduates reporting employment income,72900.0
2011,Quebec,Master's degree,"Total, field of study",Graduates reporting employment income,89000.0
2011,Quebec,Master's degree,Education [1],Graduates reporting employment income,72500.0
2011,Quebec,Master's degree,Education [1],Graduates reporting employment income,79100.0
2011,Quebec,Master's degree,Education [1],Graduates reporting employment income,86800.0
2011,Quebec,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,31300.0
2011,Quebec,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,37100.0
2011,Quebec,Master's degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,45700.0
2011,Quebec,Master's degree,Humanities [3],Graduates reporting employment income,46900.0
2011,Quebec,Master's degree,Humanities [3],Graduates reporting employment income,53200.0
2011,Quebec,Master's degree,Humanities [3],Graduates reporting employment income,69500.0
2011,Quebec,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,59500.0
2011,Quebec,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,64300.0
2011,Quebec,Master's degree,Social and behavioural sciences and law [4],Graduates reporting employment income,81600.0
2011,Quebec,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,80900.0
2011,Quebec,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,88800.0
2011,Quebec,Master's degree,"Business, management and public administration [5]",Graduates reporting employment income,103400.0
2011,Quebec,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,55500.0
2011,Quebec,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,61800.0
2011,Quebec,Master's degree,Physical and life sciences and technologies [6],Graduates reporting employment income,79700.0
2011,Quebec,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,60800.0
2011,Quebec,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,69500.0
2011,Quebec,Master's degree,"Mathematics, computer and information sciences [7]",Graduates reporting employment income,82100.0
2011,Quebec,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,63500.0
2011,Quebec,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,72500.0
2011,Quebec,Master's degree,"Architecture, engineering, and related technologies [8]",Graduates reporting employment income,92800.0
2011,Quebec,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,53500.0
2011,Quebec,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,64900.0
2011,Quebec,Master's degree,"Agriculture, natural resources and conservation [9]",Graduates reporting employment income,79400.0
2011,Quebec,Master's degree,Health and related fields [10],Graduates reporting employment income,64800.0
2011,Quebec,Master's degree,Health and related fields [10],Graduates reporting employment income,70800.0
2011,Quebec,Master's degree,Health and related fields [10],Graduates reporting employment income,83300.0
2011,Quebec,Doctoral degree,"Total, field of study",Graduates reporting employment income,67800.0
2011,Quebec,Doctoral degree,"Total, field of study",Graduates reporting employment income,81400.0
2011,Quebec,Doctoral degree,"Total, field of study",Graduates reporting employment income,100300.0
2011,Quebec,Doctoral degree,Education [1],Graduates reporting employment income,86300.0
2011,Quebec,Doctoral degree,Education [1],Graduates reporting employment income,93900.0
2011,Quebec,Doctoral degree,Education [1],Graduates reporting employment income,98400.0
2011,Quebec,Doctoral degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,38700.0
2011,Quebec,Doctoral degree,"Visual and performing arts, and communications technologies [2]",Graduates reporting employment income,60300.0
